experiment,build,cell,aggregate_tps,ttft_avg_ms,ttft_p99_ms,itl_avg_ms,per_user_tps,spec_accept_rate,server_utilization
exp09-bf16-dflash,harness-upstream,c1_ctx0,85.127,65.433,73.442,11.331,88.355,0.1618,0.0163
exp09-bf16-dflash,harness-v0.4.8,c1_ctx0,83.153,64.112,73.961,11.597,86.422,0.2045,0.0156
exp09-bf16-dflash,harness-upstream,c1_ctx32768,84.408,231.839,236.11,11.407,88.374,0.2188,0.0459
exp09-bf16-dflash,harness-v0.4.8,c1_ctx32768,94.27,228.793,231.732,10.466,95.893,0.1641,0.0467
exp09-bf16-dflash,harness-upstream,c8_ctx0,586.378,149.039,199.011,13.09,77.088,0.2564,0.1229
exp09-bf16-dflash,harness-v0.4.8,c8_ctx0,591.379,177.87,296.362,13.12,76.753,0.2308,0.1214
exp09-bf16-dflash,harness-upstream,c8_ctx32768,551.324,634.417,1482.61,13.558,75.082,0.2605,0.1533
exp09-bf16-dflash,harness-v0.4.8,c8_ctx32768,559.0,640.236,1443.136,13.195,80.297,0.2393,0.1533
exp09-bf16-dflash,harness-v0.4.8,c1_ctx0,91.144,70.855,75.422,10.816,92.78,0.1856,0.0163
exp09-bf16-dflash,harness-v0.4.8,c1_ctx16384,87.371,141.969,143.992,11.171,89.749,0.178,0.0311
exp09-bf16-dflash,harness-v0.4.8,c1_ctx32768,91.169,232.69,234.109,10.714,93.428,0.4091,0.0467
exp09-bf16-dflash,harness-v0.4.8,c1_ctx65536,86.412,288.839,291.485,11.372,88.098,0.25,0.0762
exp09-bf16-dflash,harness-v0.4.8,c1_ctx134144,83.688,512.601,521.489,11.385,88.821,0.4234,0.1385
exp09-bf16-dflash,harness-v0.4.8,c2_ctx0,176.854,124.965,146.469,11.153,89.688,0.1934,0.0327
exp09-bf16-dflash,harness-v0.4.8,c2_ctx16384,173.855,211.172,275.946,11.355,88.192,0.1976,0.0475
exp09-bf16-dflash,harness-v0.4.8,c2_ctx32768,172.708,301.414,416.857,11.455,87.5,0.1855,0.0622
exp09-bf16-dflash,harness-v0.4.8,c2_ctx65536,159.16,408.764,532.634,12.098,82.947,0.2218,0.091
exp09-bf16-dflash,harness-v0.4.8,c2_ctx134144,158.977,703.631,967.139,12.089,83.003,0.2198,0.154
exp09-bf16-dflash,harness-v0.4.8,c4_ctx0,323.72,134.403,147.667,12.096,82.988,0.1938,0.0622
exp09-bf16-dflash,harness-v0.4.8,c4_ctx16384,323.786,272.025,500.31,12.015,83.592,0.2083,0.0778
exp09-bf16-dflash,harness-v0.4.8,c4_ctx32768,335.32,460.971,823.97,11.687,86.034,0.2263,0.0949
exp09-bf16-dflash,harness-v0.4.8,c4_ctx65536,328.707,567.932,1069.128,11.833,84.771,0.1756,0.1229
exp09-bf16-dflash,harness-v0.4.8,c4_ctx134144,280.331,1007.674,1891.007,13.004,78.131,0.2581,0.1828
exp09-bf16-dflash,harness-v0.4.8,c8_ctx0,577.32,159.438,189.441,13.319,75.543,0.2656,0.1221
exp09-bf16-dflash,harness-v0.4.8,c8_ctx16384,561.031,388.715,860.598,13.417,75.516,0.2625,0.1393
exp09-bf16-dflash,harness-v0.4.8,c8_ctx32768,548.966,679.19,1434.184,13.376,77.744,0.2842,0.1533
exp09-bf16-dflash,harness-v0.4.8,c8_ctx65536,535.131,922.668,2006.167,13.585,77.805,0.2,0.1805
exp09-bf16-dflash,harness-v0.4.8,c8_ctx134144,469.554,2157.662,3669.495,16.507,60.79,0.2195,0.2536
exp09-bf16-dflash,harness-v0.4.8,c16_ctx0,871.567,226.316,311.939,17.976,55.813,0.2141,0.2552
exp09-bf16-dflash,harness-v0.4.8,c16_ctx16384,870.178,885.363,1579.63,17.94,55.875,0.1974,0.2762
exp09-bf16-dflash,harness-v0.4.8,c16_ctx32768,826.208,1440.978,2803.752,18.785,53.502,0.181,0.291
exp09-bf16-dflash,harness-v0.4.8,c16_ctx65536,752.559,2126.592,4119.302,20.212,49.801,0.2091,0.3089
exp09-bf16-dflash,harness-v0.4.8,c16_ctx134144,661.013,3399.478,7733.977,22.45,44.77,0.2373,0.3688
exp09-bf16-dflash,harness-v0.4.8,c32_ctx0,1125.263,351.738,444.971,25.466,40.684,0.2451,0.473
exp09-bf16-dflash,harness-v0.4.8,c32_ctx16384,1079.001,1983.533,3166.843,26.457,39.324,0.2966,0.5096
exp09-bf16-dflash,harness-v0.4.8,c32_ctx32768,1004.786,3784.525,5768.581,29.05,36.224,0.2563,0.0443
exp09-bf16-dflash,harness-v0.4.8,c32_ctx65536,915.74,6144.96,7945.018,31.725,34.143,0.2476,0.5757
exp09-bf16-dflash,harness-v0.4.8,c32_ctx134144,788.204,14480.839,16053.059,38.553,26.133,0.1819,0.6449
exp09-bf16-dflash,harness-v0.4.8,c1_ctx0,90.366,64.666,73.35,10.867,92.327,0.1818,0.0163
exp09-bf16-dflash,harness-v0.4.8,c1_ctx16384,93.012,143.807,147.499,10.615,94.344,0.2879,0.0311
exp09-bf16-dflash,harness-v0.4.8,c1_ctx32768,92.867,233.094,234.005,10.692,93.58,0.1914,0.0467
exp09-bf16-dflash,harness-v0.4.8,c1_ctx65536,89.589,297.861,315.431,10.979,91.145,0.2695,0.0762
exp09-bf16-dflash,harness-v0.4.8,c1_ctx134144,82.101,512.371,519.76,11.73,85.304,0.2258,0.1385
exp09-bf16-dflash,harness-v0.4.8,c2_ctx0,171.411,123.967,140.994,11.393,88.071,0.1699,0.0319
exp09-bf16-dflash,harness-v0.4.8,c2_ctx16384,171.148,208.01,275.424,11.522,86.872,0.1593,0.0475
exp09-bf16-dflash,harness-v0.4.8,c2_ctx32768,171.313,312.136,450.73,11.471,87.411,0.2177,0.0622
exp09-bf16-dflash,harness-v0.4.8,c2_ctx65536,170.222,423.947,543.314,11.405,88.108,0.25,0.0918
exp09-bf16-dflash,harness-v0.4.8,c2_ctx134144,168.092,709.103,971.448,11.635,85.982,0.2651,0.154
exp09-bf16-dflash,harness-v0.4.8,c4_ctx0,324.396,132.568,176.682,12.036,83.385,0.1906,0.063
exp09-bf16-dflash,harness-v0.4.8,c4_ctx16384,331.918,274.51,458.76,11.833,84.744,0.25,0.0786
exp09-bf16-dflash,harness-v0.4.8,c4_ctx32768,327.023,446.347,770.055,11.949,84.052,0.1606,0.0949
exp09-bf16-dflash,harness-v0.4.8,c4_ctx65536,313.895,587.07,1011.208,12.195,82.366,0.2221,0.1221
exp09-bf16-dflash,harness-v0.4.8,c4_ctx134144,296.005,924.843,1879.546,12.869,77.988,0.2674,0.1844
exp09-bf16-dflash,harness-v0.4.8,c8_ctx0,588.075,163.062,206.491,13.057,77.156,0.2622,0.1229
exp09-bf16-dflash,harness-v0.4.8,c8_ctx16384,565.255,389.806,861.908,13.135,78.627,0.2768,0.1377
exp09-bf16-dflash,harness-v0.4.8,c8_ctx32768,536.116,763.047,1530.508,13.653,76.303,0.2332,0.1564
exp09-bf16-dflash,harness-v0.4.8,c8_ctx65536,527.417,807.306,1900.388,13.971,72.791,0.2474,0.182
exp09-bf16-dflash,harness-v0.4.8,c8_ctx134144,464.667,1848.141,3523.566,16.626,60.343,0.1726,0.2536
exp09-bf16-dflash,harness-v0.4.8,c16_ctx0,892.582,212.902,306.868,17.636,56.935,0.2152,0.2575
exp09-bf16-dflash,harness-v0.4.8,c16_ctx16384,884.654,855.429,1514.893,17.636,56.885,0.2105,0.2762
exp09-bf16-dflash,harness-v0.4.8,c16_ctx32768,812.072,1638.825,3062.043,19.022,52.756,0.1632,0.2917
exp09-bf16-dflash,harness-v0.4.8,c16_ctx65536,773.664,2196.05,4189.478,19.847,50.639,0.2165,0.3096
exp09-bf16-dflash,harness-v0.4.8,c16_ctx134144,635.242,3864.964,7573.043,23.211,43.488,0.2412,0.3656
exp09-bf16-dflash,harness-v0.4.8,c32_ctx0,1114.556,348.874,444.898,25.49,41.538,0.2497,0.4746
exp09-bf16-dflash,harness-v0.4.8,c32_ctx16384,1089.538,1589.076,3089.125,25.948,41.178,0.2743,0.4956
exp09-bf16-dflash,harness-v0.4.8,c32_ctx32768,1021.146,3934.176,5853.034,28.59,36.277,0.2684,0.5524
exp09-bf16-dflash,harness-v0.4.8,c32_ctx65536,923.242,6645.843,8177.307,32.58,31.749,0.2222,0.5765
exp09-bf16-dflash,harness-v0.4.8,c32_ctx134144,779.977,11904.322,16391.365,37.153,27.699,0.2156,0.1377
exp09-bf16-dflash,harness-v0.4.8,c1_ctx0,89.755,69.811,73.823,10.933,91.927,0.3371,0.0163
exp09-bf16-dflash,harness-v0.4.8,c1_ctx16384,89.919,144.332,145.982,10.929,91.557,0.1136,0.0311
exp09-bf16-dflash,harness-v0.4.8,c1_ctx32768,88.692,229.367,230.581,11.105,90.082,0.1641,0.0459
exp09-bf16-dflash,harness-v0.4.8,c1_ctx65536,90.122,291.305,293.753,10.879,92.034,0.1411,0.0762
exp09-bf16-dflash,harness-v0.4.8,c1_ctx134144,80.997,506.97,519.858,11.773,85.344,0.2292,0.1385
exp09-bf16-dflash,harness-v0.4.8,c2_ctx0,164.5,123.766,140.182,11.81,85.175,0.1934,0.0311
exp09-bf16-dflash,harness-v0.4.8,c2_ctx16384,174.676,211.924,278.254,11.252,89.192,0.1914,0.0475
exp09-bf16-dflash,harness-v0.4.8,c2_ctx32768,168.24,303.209,426.383,11.679,85.691,0.1552,0.0622
exp09-bf16-dflash,harness-v0.4.8,c2_ctx65536,166.24,408.22,560.498,11.738,85.528,0.2042,0.0918
exp09-bf16-dflash,harness-v0.4.8,c2_ctx134144,159.404,699.616,955.084,12.129,82.732,0.1767,0.154
exp09-bf16-dflash,harness-v0.4.8,c4_ctx0,323.076,135.711,150.457,12.123,82.809,0.2147,0.0622
exp09-bf16-dflash,harness-v0.4.8,c4_ctx16384,338.466,274.755,462.789,11.684,85.898,0.2146,0.0794
exp09-bf16-dflash,harness-v0.4.8,c4_ctx32768,323.472,430.827,827.606,12.031,83.345,0.194,0.0949
exp09-bf16-dflash,harness-v0.4.8,c4_ctx65536,314.816,587.155,1002.855,12.251,81.872,0.1719,0.1221
exp09-bf16-dflash,harness-v0.4.8,c4_ctx134144,283.842,999.031,1898.474,13.262,75.882,0.2118,0.1852
