experiment,build,config,phase,rep,cell,concurrency,context_tokens,aggregate_tps,per_request_avg_tps,ttft_avg_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,itl_avg_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,output_tps_per_user_avg,output_tps_per_user_p50,e2e_output_tps_per_user_avg,server_gen_throughput,server_utilization,spec_accept_rate,spec_accept_length,avg_running_reqs,max_running_reqs,queue_fraction,completed_request_count,num_errors,capacity_limited,underfilled,warmup_timed_out,measurement_seconds,source_file
exp-09-v13-kitchen-sink,harness-upstream,bf16-dflash,phase1-method-validation,0,c1-ctx0,1,0,85.127,85.127,65.433,66.252,72.121,73.442,11.331,11.496,11.652,11.687,88.355,86.99,86.052,85.082,0.0163,0.1618,0.0,1,1,0.0,2,0,False,False,False,59.98,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase1-method-validation/upstream-main/c1-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase1-method-validation,0,c1-ctx0,1,0,83.153,83.153,64.112,62.444,71.846,73.961,11.597,11.93,12.006,12.023,86.422,83.82,83.298,83.153,0.0156,0.2045,0.0,1,1,0.0,2,0,False,False,False,60.33,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase1-method-validation/v0.4.8/c1-ctx0.json
exp-09-v13-kitchen-sink,harness-upstream,bf16-dflash,phase1-method-validation,0,c1-ctx32768,1,32768,84.408,84.408,231.839,231.778,235.314,236.11,11.407,11.748,12.289,12.41,88.374,85.122,82.084,84.383,0.0459,0.2188,0.0,1.0,1,0.0,2,0,False,False,False,59.97,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase1-method-validation/upstream-main/c1-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase1-method-validation,0,c1-ctx32768,1,32768,94.27,94.27,228.793,227.796,231.009,231.732,10.466,10.019,11.1,11.343,95.893,99.811,92.943,94.27,0.0467,0.1641,0.0,1.0,1,0.0,2,0,False,False,False,60.35,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase1-method-validation/v0.4.8/c1-ctx32k.json
exp-09-v13-kitchen-sink,harness-upstream,bf16-dflash,phase1-method-validation,0,c8-ctx0,8,0,586.378,73.297,149.039,146.972,183.795,199.011,13.09,13.402,14.164,15.662,77.088,74.62,72.884,586.088,0.1229,0.2564,0.0,8.0,8,0.0,16,0,False,False,False,59.98,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase1-method-validation/upstream-main/c8-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase1-method-validation,0,c8-ctx0,8,0,591.379,73.922,177.87,150.142,275.693,296.362,13.12,13.177,14.188,15.34,76.753,75.891,73.827,591.379,0.1214,0.2308,0.0,8.0,8,0.0,16,0,False,False,False,60.31,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase1-method-validation/v0.4.8/c8-ctx0.json
exp-09-v13-kitchen-sink,harness-upstream,bf16-dflash,phase1-method-validation,0,c8-ctx32768,8,32768,551.324,68.916,634.417,317.098,1481.069,1482.61,13.558,14.052,14.945,15.923,75.082,71.169,68.593,551.226,0.1533,0.2605,0.0,7.9,8,0.0,16,0,False,False,False,60.0,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase1-method-validation/upstream-main/c8-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase1-method-validation,0,c8-ctx32768,8,32768,559.0,69.875,640.236,314.639,1440.379,1443.136,13.195,13.709,14.982,15.958,80.297,72.948,69.432,559.0,0.1533,0.2393,0.0,8.0,8,0.0,16,0,False,False,False,60.3,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase1-method-validation/v0.4.8/c8-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c1-ctx0,1,0,91.144,91.144,70.855,75.146,75.371,75.422,10.816,10.876,11.426,11.549,92.78,91.947,88.993,91.144,0.0163,0.1856,0.0,1,1,0.0,2,0,False,False,False,60.34,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c1-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c1-ctx16384,1,16384,87.371,87.371,141.969,140.967,143.436,143.992,11.171,11.006,11.752,11.92,89.749,90.861,86.824,87.371,0.0311,0.178,0.0,1,1,0.0,2,0,False,False,False,60.33,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c1-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c1-ctx32768,1,32768,91.169,91.169,232.69,232.827,233.873,234.109,10.714,10.689,11.051,11.133,93.428,93.55,90.746,91.169,0.0467,0.4091,0.0,1,1,0.0,2,0,False,False,False,60.36,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c1-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c1-ctx65536,1,65536,86.412,86.412,288.839,288.139,290.871,291.485,11.372,11.433,11.836,11.927,88.098,87.464,84.634,86.412,0.0762,0.25,0.0,1.0,1,0.0,2,0,False,False,False,60.33,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c1-ctx64k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c1-ctx134144,1,134144,83.688,83.688,512.601,512.891,519.91,521.489,11.385,11.742,12.435,12.591,88.821,85.161,80.6,83.688,0.1385,0.4234,0.0,1.0,1,0.0,2,0,False,False,False,60.32,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c1-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c2-ctx0,2,0,176.854,88.427,124.965,133.815,141.987,146.469,11.153,11.121,11.346,11.497,89.688,89.919,88.609,176.854,0.0327,0.1934,0.0,2,2,0.0,4,0,False,False,False,60.34,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c2-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c2-ctx16384,2,16384,173.855,86.927,211.172,203.687,242.069,275.946,11.355,11.444,11.765,11.818,88.192,87.411,88.683,173.855,0.0475,0.1976,0.0,2,2,0.0,4,0,False,False,False,60.36,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c2-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c2-ctx32768,2,32768,172.708,86.354,301.414,273.248,359.807,416.857,11.455,11.475,12.069,12.215,87.5,87.161,88.168,172.708,0.0622,0.1855,0.0,2,2,0.0,4,0,False,False,False,60.35,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c2-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c2-ctx65536,2,65536,159.16,79.58,408.764,365.65,530.233,532.634,12.098,11.916,13.011,13.341,82.947,83.945,79.836,159.16,0.091,0.2218,0.0,2.0,2,0.0,4,0,False,False,False,60.34,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c2-ctx64k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c2-ctx134144,2,134144,158.977,79.489,703.631,601.665,926.818,967.139,12.089,11.948,12.988,13.063,83.003,83.74,78.432,158.977,0.154,0.2198,0.0,2.0,2,0.0,4,0,False,False,False,60.3,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c2-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c4-ctx0,4,0,323.72,80.93,134.403,138.281,147.169,147.667,12.096,12.295,12.801,13.39,82.988,81.335,81.682,323.72,0.0622,0.1938,0.0,4,4,0.0,8,0,False,False,False,60.28,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c4-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c4-ctx16384,4,16384,323.786,80.947,272.025,208.388,481.531,500.31,12.015,12.0,12.916,13.366,83.592,83.336,81.024,323.786,0.0778,0.2083,0.0,4.0,4,0.0,8,0,False,False,False,60.33,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c4-ctx16k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c4-ctx32768,4,32768,335.32,83.83,460.971,359.149,822.614,823.97,11.687,11.847,12.492,13.174,86.034,84.408,83.072,335.32,0.0949,0.2263,0.0,4.0,4,0.0,8,0,False,False,False,60.31,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c4-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c4-ctx65536,4,65536,328.707,82.177,567.932,372.056,1066.499,1069.128,11.833,11.628,12.774,13.158,84.771,86.0,81.147,328.707,0.1229,0.1756,0.0,4.0,4,0.0,8,0,False,False,False,60.37,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c4-ctx64k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c4-ctx134144,4,134144,280.331,70.083,1007.674,625.42,1839.768,1891.007,13.004,13.654,14.312,15.265,78.131,73.266,68.528,280.331,0.1828,0.2581,0.0,3.9,4,0.0,8,0,False,False,False,60.31,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c4-ctx131k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,bf16-dflash,phase3-matrix,1,c8-ctx0,8,0,577.32,72.165,159.438,149.239,185.952,189.441,13.319,13.611,14.387,14.668,75.543,73.47,72.355,577.32,0.1221,0.2656,0.0,8,8,0.0,16,0,False,False,False,60.31,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/A-bf16-dflash/phase3-matrix/run1/c8-ctx0.json
