experiment,build,cell,aggregate_tps,ttft_avg_ms,ttft_p99_ms,itl_avg_ms,per_user_tps,spec_accept_rate,server_utilization
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx0,100.644,61.572,67.602,9.884,101.191,0.6404,0.0051
exp09-fp8-mtp3,harness-upstream,c1_ctx0,96.335,62.643,68.84,9.884,101.819,0.6404,0.0051
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx32768,96.924,287.161,290.146,9.741,103.218,0.7838,0.0209
exp09-fp8-mtp3,harness-upstream,c1_ctx32768,99.69,271.944,298.171,9.456,106.621,0.7105,0.0209
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx0,763.813,149.295,477.689,10.034,100.552,0.6459,0.0411
exp09-fp8-mtp3,harness-upstream,c8_ctx0,759.961,132.181,178.522,9.966,101.381,0.6525,0.0411
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx32768,733.598,794.23,1729.808,10.693,93.644,0.5191,0.066
exp09-fp8-mtp3,harness-upstream,c8_ctx32768,739.074,721.546,1790.467,10.662,93.955,0.545,0.066
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx0,95.263,62.399,68.262,9.85,102.955,0.8286,0.0051
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx16384,98.144,213.127,215.121,9.641,104.737,0.8468,0.013
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx32768,96.209,286.333,286.93,9.798,102.7,0.8571,0.0209
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx65536,94.163,443.076,457.842,10.356,96.576,0.5045,0.0379
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx134144,84.124,752.061,754.355,11.512,86.873,0.4412,0.0707
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx0,192.67,107.813,124.584,10.07,99.666,0.6491,0.0103
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx16384,191.426,279.9,421.968,10.105,99.24,0.7049,0.0186
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx32768,200.172,370.671,522.96,9.702,103.31,0.5225,0.0265
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx65536,188.49,553.544,820.058,10.424,95.953,0.518,0.0367
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx134144,169.424,969.227,1408.671,11.385,87.933,0.7059,0.077
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx0,388.414,120.788,139.724,10.079,99.472,0.4955,0.0205
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx16384,384.059,348.175,711.336,9.88,102.591,0.6461,0.0241
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx32768,380.476,450.133,913.208,10.064,100.844,0.5132,0.0391
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx65536,367.691,746.12,1550.986,10.676,93.821,0.5324,0.0565
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx134144,320.382,1251.71,2541.363,11.963,83.799,0.5303,0.0897
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx0,757.703,150.533,202.173,10.148,99.369,0.5634,0.0419
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx16384,750.383,666.908,1588.061,10.449,95.983,0.5169,0.0573
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx32768,716.211,888.873,2116.243,10.953,91.453,0.4538,0.066
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx65536,684.472,1325.905,3201.617,11.382,88.138,0.556,0.0818
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx134144,551.607,2119.963,4644.917,14.131,71.455,0.5444,0.1094
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx0,1481.005,177.27,303.845,10.478,96.158,0.5489,0.0901
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx16384,1381.615,1158.54,2988.972,11.354,88.285,0.5292,0.1039
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx32768,1246.544,1061.283,2913.166,12.595,79.736,0.5299,0.1102
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx65536,1017.02,3079.068,5936.823,15.447,64.904,0.5553,0.1339
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx134144,711.735,6976.629,11209.592,20.845,48.133,0.5603,0.1592
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx0,2137.356,247.795,423.537,14.619,68.771,0.5132,0.1644
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx16384,1803.257,2524.677,5689.941,17.681,56.769,0.5539,0.2102
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx32768,1584.628,2620.738,6057.967,20.069,50.053,0.5466,0.2051
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx65536,1212.463,5330.624,11202.673,27.619,37.207,0.5827,0.209
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx134144,930.377,19663.347,23506.52,33.429,30.11,0.5682,0.2663
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx0,90.814,61.044,67.572,10.87,92.019,0.5238,0.0059
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx16384,99.084,212.473,213.01,9.742,102.887,0.5877,0.013
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx32768,97.717,266.143,267.362,9.582,105.256,0.7895,0.0209
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx65536,93.365,442.077,442.27,10.525,95.109,0.5185,0.0375
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx134144,85.388,760.62,762.417,11.327,88.332,0.4848,0.0707
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx0,196.595,114.785,130.521,10.034,99.689,0.4414,0.0103
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx16384,194.578,268.905,391.125,9.78,102.781,0.7934,0.0186
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx32768,188.93,346.536,485.299,10.385,96.376,0.4009,0.0209
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx65536,184.52,589.558,883.877,10.63,94.161,0.4954,0.0439
exp09-fp8-mtp3,harness-v0.4.8,c2_ctx134144,168.722,994.352,1427.659,11.425,87.569,0.4697,0.077
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx0,391.526,131.799,198.104,9.916,101.088,0.4868,0.0205
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx16384,386.558,353.517,715.1,9.925,102.073,0.598,0.0304
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx32768,381.743,464.951,932.64,9.961,101.593,0.5942,0.0391
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx65536,368.989,839.865,1614.8,10.593,94.49,0.5586,0.0565
exp09-fp8-mtp3,harness-v0.4.8,c4_ctx134144,326.137,1507.805,2840.091,11.776,85.02,0.4706,0.0885
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx0,768.987,139.657,222.392,10.09,99.555,0.6541,0.0411
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx16384,756.421,502.378,1231.337,10.437,95.946,0.6195,0.0518
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx32768,743.647,911.456,2161.294,10.573,94.767,0.5158,0.066
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx65536,686.425,1499.354,3174.862,11.245,89.169,0.469,0.081
exp09-fp8-mtp3,harness-v0.4.8,c8_ctx134144,550.901,2041.556,4946.985,13.943,72.072,0.5905,0.1114
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx0,1489.174,177.526,313.954,10.4,96.808,0.57,0.0885
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx16384,1356.158,1186.877,3073.682,11.622,86.313,0.5018,0.1023
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx32768,1228.697,1166.253,3320.244,12.759,78.636,0.5352,0.1102
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx65536,1004.24,2734.021,6368.155,15.547,65.143,0.573,0.1316
exp09-fp8-mtp3,harness-v0.4.8,c16_ctx134144,713.395,6109.72,10759.346,21.099,47.609,0.5351,0.1596
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx0,2152.174,253.483,451.779,14.579,68.877,0.5292,0.1644
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx16384,1793.244,2316.775,5338.039,17.737,56.561,0.5204,0.2094
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx32768,1560.334,3418.675,7591.52,20.364,49.321,0.5161,0.2051
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx65536,1203.162,5971.962,11672.018,27.207,37.526,0.5671,0.2153
exp09-fp8-mtp3,harness-v0.4.8,c32_ctx134144,919.765,18327.829,22928.097,33.748,29.812,0.5256,0.2659
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx0,92.724,62.048,67.818,9.757,105.712,0.3423,0.0051
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx16384,95.584,213.571,214.829,9.469,109.189,0.4667,0.013
exp09-fp8-mtp3,harness-v0.4.8,c1_ctx32768,99.571,264.687,265.502,9.822,101.932,0.4386,0.0209
