experiment,build,config,phase,rep,cell,concurrency,context_tokens,aggregate_tps,per_request_avg_tps,ttft_avg_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,itl_avg_ms,itl_p50_ms,itl_p90_ms,itl_p99_ms,output_tps_per_user_avg,output_tps_per_user_p50,e2e_output_tps_per_user_avg,server_gen_throughput,server_utilization,spec_accept_rate,spec_accept_length,avg_running_reqs,max_running_reqs,queue_fraction,completed_request_count,num_errors,capacity_limited,underfilled,warmup_timed_out,measurement_seconds,source_file
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase1-method-validation,0,c1-ctx0,1,0,100.644,100.644,61.572,63.127,67.472,67.602,9.884,9.912,9.983,10.006,101.191,100.888,101.084,100.644,0.0051,0.6404,0.0,1,1,0.0,3,0,False,False,False,60.32,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase1-method-validation/v0.4.8/c1-ctx0.json
exp-09-v13-kitchen-sink,harness-upstream,fp8-mtp3,phase1-method-validation,0,c1-ctx0,1,0,96.335,96.335,62.643,63.533,68.613,68.84,9.884,10.154,10.482,10.606,101.819,98.482,96.79,96.282,0.0051,0.6404,0.0,1,1,0.0,3,0,False,False,False,59.98,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase1-method-validation/upstream-main/c1-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase1-method-validation,0,c1-ctx32768,1,32768,96.924,96.924,287.161,286.372,289.221,290.146,9.741,10.113,10.17,10.187,103.218,98.883,97.343,96.924,0.0209,0.7838,0.0,1.0,1,0.0,3,0,False,False,False,60.36,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase1-method-validation/v0.4.8/c1-ctx32k.json
exp-09-v13-kitchen-sink,harness-upstream,fp8-mtp3,phase1-method-validation,0,c1-ctx32768,1,32768,99.69,99.69,271.944,264.309,289.692,298.171,9.456,9.86,9.997,10.045,106.621,101.42,99.477,99.648,0.0209,0.7105,0.0,1,1,0.0,3,0,False,False,False,59.99,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase1-method-validation/upstream-main/c1-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase1-method-validation,0,c8-ctx0,8,0,763.813,95.477,149.295,120.569,174.663,477.689,10.034,10.254,10.79,11.222,100.552,97.526,96.162,763.813,0.0411,0.6459,0.0,8.0,8,0.0,24,0,False,False,False,60.32,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase1-method-validation/v0.4.8/c8-ctx0.json
exp-09-v13-kitchen-sink,harness-upstream,fp8-mtp3,phase1-method-validation,0,c8-ctx0,8,0,759.961,94.995,132.181,119.885,177.721,178.522,9.966,10.264,10.784,10.864,101.381,97.432,95.696,759.642,0.0411,0.6525,0.0,8.0,8,0.0,24,0,False,False,False,59.99,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase1-method-validation/upstream-main/c8-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase1-method-validation,0,c8-ctx32768,8,32768,733.598,91.7,794.23,452.96,1726.677,1729.808,10.693,10.7,11.198,11.618,93.644,93.458,88.865,733.598,0.066,0.5191,0.0,7.9,8,0.0,16,0,False,False,False,60.31,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase1-method-validation/v0.4.8/c8-ctx32k.json
exp-09-v13-kitchen-sink,harness-upstream,fp8-mtp3,phase1-method-validation,0,c8-ctx32768,8,32768,739.074,92.384,721.546,426.031,1787.7,1790.467,10.662,10.626,11.218,11.412,93.955,94.111,89.755,739.005,0.066,0.545,0.0,8.0,8,0.0,16,0,False,False,False,59.98,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase1-method-validation/upstream-main/c8-ctx32k.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c1-ctx0,1,0,95.263,95.263,62.399,63.939,68.093,68.262,9.85,10.347,10.618,10.71,102.955,96.65,95.304,95.263,0.0051,0.8286,0.0,1,1,0.0,3,0,False,False,False,60.34,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c1-ctx0.json
exp-09-v13-kitchen-sink,harness-v0.4.8,fp8-mtp3,phase3-matrix,1,c1-ctx16384,1,16384,98.144,98.144,213.127,212.72,214.543,215.121,9.641,10.043,10.291,10.366,104.737,99.575,97.559,98.144,0.013,0.8468,0.0,1,1,0.0,3,0,False,False,False,60.35,sweeps/v13-kitchen-sink-bf16dflash-and-fp8mtp3/B-fp8-mtp3/phase3-matrix/run1/c1-ctx16k.json
