config,concurrency,context_tokens,ctx_label,n_reps,tps_mean,tps_std,ttft_avg_ms_mean,itl_avg_ms_mean,per_user_tps_mean,spec_accept_rate_mean,server_utilization_mean
bf16-dflash,1,0,0,5,90.931,2.184,67.199,10.617,96.284,0.267,0.016
bf16-dflash,1,16384,16k,5,89.249,2.147,143.231,11.007,90.986,0.166,0.031
bf16-dflash,1,32768,32k,5,90.995,4.364,231.638,10.634,95.905,0.312,0.046
bf16-dflash,1,65536,64k,5,88.509,2.321,292.211,11.08,90.511,0.241,0.076
bf16-dflash,1,134144,131k,5,82.258,1.49,508.564,11.705,85.757,0.264,0.139
bf16-dflash,2,0,0,5,171.359,4.184,124.963,11.45,87.589,0.191,0.032
bf16-dflash,2,16384,16k,5,174.923,2.708,210.925,11.246,89.126,0.196,0.048
bf16-dflash,2,32768,32k,5,169.089,2.971,307.711,11.611,86.371,0.2,0.062
bf16-dflash,2,65536,64k,5,165.93,4.0,411.455,11.722,85.682,0.203,0.092
bf16-dflash,2,134144,131k,5,161.51,4.421,696.661,11.982,83.682,0.204,0.154
bf16-dflash,4,0,0,5,325.806,2.755,134.117,12.027,83.47,0.2,0.063
bf16-dflash,4,16384,16k,5,327.912,6.652,277.433,11.938,84.086,0.229,0.079
bf16-dflash,4,32768,32k,5,324.139,6.761,432.459,12.018,83.754,0.213,0.095
bf16-dflash,4,65536,64k,5,320.427,6.754,580.684,12.021,85.333,0.227,0.122
bf16-dflash,4,134144,131k,5,290.943,7.38,996.471,12.915,78.03,0.25,0.184
bf16-dflash,8,0,0,5,579.774,5.299,162.808,13.255,75.95,0.266,0.122
bf16-dflash,8,16384,16k,5,568.115,8.315,394.64,13.298,76.351,0.269,0.139
bf16-dflash,8,32768,32k,5,542.746,8.382,706.355,13.51,77.419,0.263,0.133
bf16-dflash,8,65536,64k,5,529.295,6.532,926.655,13.955,74.357,0.237,0.154
bf16-dflash,8,134144,131k,5,471.769,5.96,1971.902,16.247,62.101,0.22,0.253
bf16-dflash,16,0,0,5,884.13,8.352,228.487,17.779,56.455,0.211,0.258
bf16-dflash,16,16384,16k,5,859.729,16.069,845.826,18.151,55.295,0.195,0.277
bf16-dflash,16,32768,32k,5,824.469,7.576,1603.478,18.809,53.401,0.203,0.291
bf16-dflash,16,65536,64k,5,768.104,8.772,2123.662,19.958,50.353,0.212,0.309
bf16-dflash,16,134144,131k,5,661.309,14.466,3706.732,22.479,44.824,0.252,0.37
bf16-dflash,32,0,0,5,1122.932,4.828,356.985,25.635,40.427,0.25,0.474
bf16-dflash,32,16384,16k,5,1085.205,12.442,1626.462,26.35,39.912,0.29,0.499
bf16-dflash,32,32768,32k,5,1015.484,8.255,3717.297,28.633,36.647,0.262,0.348
bf16-dflash,32,65536,64k,5,929.553,11.054,6129.609,31.964,32.607,0.231,0.414
bf16-dflash,32,134144,131k,5,787.012,7.499,14060.679,38.142,26.515,0.207,0.442
fp8-mtp3,1,0,0,5,93.915,1.87,63.007,10.071,100.876,0.651,0.005
fp8-mtp3,1,16384,16k,5,98.182,1.357,209.475,9.697,104.177,0.583,0.013
fp8-mtp3,1,32768,32k,5,98.338,1.238,275.009,9.736,103.157,0.637,0.021
fp8-mtp3,1,65536,64k,5,94.017,0.56,446.652,10.405,96.23,0.533,0.037
fp8-mtp3,1,134144,131k,5,84.985,0.78,757.648,11.39,87.827,0.531,0.071
fp8-mtp3,2,0,0,5,194.744,1.414,112.402,10.009,100.187,0.568,0.01
fp8-mtp3,2,16384,16k,5,193.431,2.927,274.52,9.824,102.838,0.738,0.019
fp8-mtp3,2,32768,32k,5,193.975,4.011,353.622,9.808,103.383,0.54,0.025
fp8-mtp3,2,65536,64k,5,185.861,1.772,567.485,10.535,94.989,0.464,0.042
fp8-mtp3,2,134144,131k,5,168.949,0.409,978.357,11.429,87.554,0.535,0.077
fp8-mtp3,4,0,0,5,387.49,2.604,126.819,9.99,100.564,0.611,0.021
fp8-mtp3,4,16384,16k,5,385.051,1.9,356.233,9.906,102.141,0.676,0.026
fp8-mtp3,4,32768,32k,5,380.393,4.397,459.878,10.194,99.698,0.547,0.039
fp8-mtp3,4,65536,64k,5,364.623,4.017,794.175,10.733,93.288,0.518,0.057
fp8-mtp3,4,134144,131k,5,324.498,3.08,1417.276,11.84,84.596,0.518,0.09
fp8-mtp3,8,0,0,5,760.978,5.868,144.085,10.111,99.674,0.641,0.042
fp8-mtp3,8,16384,16k,5,755.848,2.943,607.235,10.36,96.967,0.565,0.056
fp8-mtp3,8,32768,32k,5,729.715,9.674,883.867,10.752,93.173,0.506,0.057
fp8-mtp3,8,65536,64k,5,685.54,1.046,1280.924,11.329,88.492,0.535,0.081
fp8-mtp3,8,134144,131k,5,548.547,3.691,2165.704,14.107,71.77,0.63,0.11
