stage,id,kind,image_or_provider,model,quant,spec,tool_parser,final_score,responsiveness,median_turn_ms,tool_call_quality,compliance,throughput_tps,wall_seconds,scenarios_total,scenarios_pass
stage1,S1-v13-fp8-coder,local,repne/vllm:v13,Qwen3.6-27B,fp8,mtp/N3,qwen3_coder,62,80,1167.5,,,,,0,0
stage1,S1-v13-fp8-xml,local,repne/vllm:v13,Qwen3.6-27B,fp8,mtp/N3,qwen3_xml,62,80,1192.4,,,,,0,0
stage2,S2-v13-bf16-qwen3_coder,local,repne/vllm:v13,Qwen3.6-27B,bf16,dflash/N8,qwen3_coder,62,81,1145.5,,,,,0,0
stage3,S3-nightly-fp8-qwen3_coder,local,vllm/vllm-openai:nightly,Qwen3.6-27B,fp8,mtp/N3,qwen3_coder,48,70,1685.2,,,,,0,0
frontier,Y1-claude-sonnet-4.6,frontier,api,anthropic/claude-sonnet-4.6,api,-,-,86,47,3248.1,,,,,0,0
frontier,Y6-gemini-3.5-flash,frontier,api,google/gemini-3.5-flash,api,-,-,86,65,1985.7,,,,,0,0
frontier,Y3-gpt-5.5,frontier,api,openai/gpt-5.5,api,-,-,83,56,2587.2,,,,,0,0
frontier,Y2-claude-haiku-4.5,frontier,api,anthropic/claude-haiku-4.5,api,-,-,82,43,3617.3,,,,,0,0
frontier,Y7-qwen-235b-cerebras,frontier,api,qwen-3-235b-a22b-instruct-2507,api,-,-,81,96,377.8,,,,,0,0
frontier,Y4-gpt-5-mini,frontier,api,openai/gpt-5-mini,api,-,-,72,21,7172.5,,,,,0,0
