variant,mode,n_positions,kl_a_to_b_mean_bits,kl_b_to_a_mean_bits,js_mean_bits,kl_max_bits,js_max_bits,free_run_tok_per_s,source
fp8,multi,504,0.23045660167134407,0.24655045866727804,0.013997107666494231,33.01383093546095,0.9999996587825336,,compare/fp8-vs-bf16-multi.json
fp8,single,16,0.005522589990048503,0.005521564140408395,0.0013787607269068593,0.013194470009375342,0.0032705275625422685,,compare/fp8-vs-bf16-single.json
nvfp4,multi,504,0.5074518376531523,0.5725362211194074,0.04337985045989831,29.799343108159196,0.9999986268866284,,compare/nvfp4-vs-bf16-multi.json
nvfp4,single,16,0.29945563273870707,0.14750300580212952,0.03606513809797973,3.926225989111929,0.3711984105244413,,compare/nvfp4-vs-bf16-single.json
bf16-self,multi,504,0.02693099977475214,0.03279225450748209,0.003027372310125914,10.895700807645136,0.983528192378799,,compare/bf16-self-multi.json
bf16-self,single,16,0.0007589492771732217,0.0007611668288633264,0.0001899619968237661,0.002937109298422982,0.000735615480631868,,compare/bf16-self-single.json
B2-kv-fp8-only,multi,504,0.14885357481043948,0.2114949554701041,0.01218039177555077,25.990554784258332,0.9999972510254215,,addenda/B-kv-cache-isolation/results/cmp-B2-vs-B1-kv-effect.json
B3-fp8w-kv-auto,multi,504,0.18600540678572725,0.18791643500645205,0.012534436872954299,36.05695524944301,0.9998275041490199,,addenda/B-kv-cache-isolation/results/cmp-B3-vs-B1-weight-effect.json
B4-fp8w-kv-fp8,multi,504,0.2113273583768383,0.13889416698813103,0.013182127566947015,36.503028714777685,0.999954685319333,,addenda/B-kv-cache-isolation/results/cmp-B4-vs-B1-combined.json
C4-awq-4bit,multi,504,0.3918877084449236,0.3344514149603689,0.030998905415610154,36.937429373633,0.9999996587825336,119.53,addenda/C-teacher-forced-quants/compare/C4-awq-4bit-vs-bf16-multi.json
C4-awq-4bit,single,16,0.040859425900901414,0.043273011612507635,0.010219364301738204,0.19938559252935967,0.0524965002973163,119.53,addenda/C-teacher-forced-quants/compare/C4-awq-4bit-vs-bf16-single.json
C5-awq-6bit,multi,504,0.3356521763308617,0.33426670559334226,0.02833686120531449,41.898721596107784,0.9999996587825336,116.28,addenda/C-teacher-forced-quants/compare/C5-awq-6bit-vs-bf16-multi.json
C5-awq-6bit,single,16,0.03511422452352791,0.03521846213332429,0.008667037474327583,0.09281572600462872,0.023984799916797323,116.28,addenda/C-teacher-forced-quants/compare/C5-awq-6bit-vs-bf16-single.json
C6-autoround-int4,multi,504,0.33344374711113234,0.3640107395969319,0.030218254665512506,37.21882876283593,0.9991853209306982,120.32,addenda/C-teacher-forced-quants/compare/C6-autoround-int4-vs-bf16-multi.json
C6-autoround-int4,single,16,0.02889620790495658,0.029957649892105875,0.0072975570924950165,0.07192704644721802,0.01829641999493153,120.32,addenda/C-teacher-forced-quants/compare/C6-autoround-int4-vs-bf16-single.json
C7-gptq-groxaxo,multi,504,0.5696294993415124,0.40640803167461964,0.054367134092919704,39.26740629996371,0.9998202808776837,122.05,addenda/C-teacher-forced-quants/compare/C7-gptq-groxaxo-vs-bf16-multi.json
C7-gptq-groxaxo,single,16,0.24102156040734046,0.2487984009010431,0.05779927899257415,0.6176599111655605,0.14313017492129176,122.05,addenda/C-teacher-forced-quants/compare/C7-gptq-groxaxo-vs-bf16-single.json
C8-gptq-qwopus,multi,504,0.44960564501809747,0.359405710639598,0.03127724052542917,32.61740679763856,0.9999993148172318,121.85,addenda/C-teacher-forced-quants/compare/C8-gptq-qwopus-vs-bf16-multi.json
C8-gptq-qwopus,single,16,0.07008381163768018,0.06981299270714966,0.01703982203833012,0.3832118716394983,0.08720465228432575,121.85,addenda/C-teacher-forced-quants/compare/C8-gptq-qwopus-vs-bf16-single.json
